rank,index,profile_value,timestamp,end_time
1,499461,7.736597782952356,2025-12-13 20:21:00+00:00,2025-12-13 21:20:00+00:00
2,15499,7.736192229471658,2025-01-11 18:19:00+00:00,2025-01-11 19:18:00+00:00
3,73226,7.7310875536913715,2025-02-20 20:26:00+00:00,2025-02-20 21:25:00+00:00
4,4565,7.7252175064365005,2025-01-04 04:05:00+00:00,2025-01-04 05:04:00+00:00
5,106357,7.724433342775539,2025-03-15 20:37:00+00:00,2025-03-15 21:36:00+00:00
6,163002,7.719430316704386,2025-04-24 04:42:00+00:00,2025-04-24 05:41:00+00:00
7,60269,7.714165369317876,2025-02-11 20:29:00+00:00,2025-02-11 21:28:00+00:00
8,123073,7.711857005527047,2025-03-27 11:13:00+00:00,2025-03-27 12:12:00+00:00
9,147379,7.710565318302602,2025-04-13 08:19:00+00:00,2025-04-13 09:18:00+00:00
10,373533,7.709908626074073,2025-09-17 09:33:00+00:00,2025-09-17 10:32:00+00:00
11,38332,7.709080617464525,2025-01-27 14:52:00+00:00,2025-01-27 15:51:00+00:00
12,14522,7.699952430184665,2025-01-11 02:02:00+00:00,2025-01-11 03:01:00+00:00
13,222796,7.696660115217951,2025-06-04 17:16:00+00:00,2025-06-04 18:15:00+00:00
14,82199,7.694791694758311,2025-02-27 01:59:00+00:00,2025-02-27 02:58:00+00:00
15,227126,7.694268418095065,2025-06-07 17:26:00+00:00,2025-06-07 18:25:00+00:00
