rank,query_index,match_index,profile_value,query_time,match_time,query_end_time,match_end_time
1,247465,380460,2.4389022932799986,2025-06-21 20:25:00+00:00,2025-09-22 05:00:00+00:00,2025-06-21 21:24:00+00:00,2025-09-22 05:59:00+00:00
2,346292,111453,2.58606308385196,2025-08-29 11:32:00+00:00,2025-03-19 09:33:00+00:00,2025-08-29 12:31:00+00:00,2025-03-19 10:32:00+00:00
3,146140,100108,2.7251229653267703,2025-04-12 11:40:00+00:00,2025-03-11 12:28:00+00:00,2025-04-12 12:39:00+00:00,2025-03-11 13:27:00+00:00
4,373981,136543,3.1029713867274142,2025-09-17 17:01:00+00:00,2025-04-05 19:43:00+00:00,2025-09-17 18:00:00+00:00,2025-04-05 20:42:00+00:00
5,520879,13714,3.1220494920791144,2025-12-28 17:19:00+00:00,2025-01-10 12:34:00+00:00,2025-12-28 18:18:00+00:00,2025-01-10 13:33:00+00:00
6,385170,223779,3.283563621285933,2025-09-25 11:30:00+00:00,2025-06-05 09:39:00+00:00,2025-09-25 12:29:00+00:00,2025-06-05 10:38:00+00:00
7,279159,124061,3.3365136376380096,2025-07-13 20:39:00+00:00,2025-03-28 03:41:00+00:00,2025-07-13 21:38:00+00:00,2025-03-28 04:40:00+00:00
8,417965,147861,3.4362647126208956,2025-10-18 06:05:00+00:00,2025-04-13 16:21:00+00:00,2025-10-18 07:04:00+00:00,2025-04-13 17:20:00+00:00
9,274820,73939,3.5003331484846045,2025-07-10 20:20:00+00:00,2025-02-21 08:19:00+00:00,2025-07-10 21:19:00+00:00,2025-02-21 09:18:00+00:00
10,390068,61762,3.528817505206042,2025-09-28 21:08:00+00:00,2025-02-12 21:22:00+00:00,2025-09-28 22:07:00+00:00,2025-02-12 22:21:00+00:00
11,79568,429178,3.5899777477921364,2025-02-25 06:08:00+00:00,2025-10-26 00:58:00+00:00,2025-02-25 07:07:00+00:00,2025-10-26 01:57:00+00:00
12,20912,269072,3.597083217056998,2025-01-15 12:32:00+00:00,2025-07-06 20:32:00+00:00,2025-01-15 13:31:00+00:00,2025-07-06 21:31:00+00:00
13,384301,124468,3.797270534430124,2025-09-24 21:01:00+00:00,2025-03-28 10:28:00+00:00,2025-09-24 22:00:00+00:00,2025-03-28 11:27:00+00:00
14,247531,343941,3.812214423632867,2025-06-21 21:31:00+00:00,2025-08-27 20:21:00+00:00,2025-06-21 22:30:00+00:00,2025-08-27 21:20:00+00:00
15,490407,329397,3.9037026053672927,2025-12-07 13:27:00+00:00,2025-08-17 17:57:00+00:00,2025-12-07 14:26:00+00:00,2025-08-17 18:56:00+00:00
