rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,60,13711,268369,2025-01-10 12:31:00+00:00,2025-01-10 13:30:00+00:00,2025-07-06 08:49:00+00:00,2025-07-06 09:48:00+00:00,2.6531825971022984,mid_vol,low_vol,False,log_return_m60
2,60,380463,339518,2025-09-22 05:03:00+00:00,2025-09-22 06:02:00+00:00,2025-08-24 18:38:00+00:00,2025-08-24 19:37:00+00:00,2.9316390766330254,low_vol,mid_vol,False,log_return_m60
3,60,346291,19471,2025-08-29 11:31:00+00:00,2025-08-29 12:30:00+00:00,2025-01-14 12:31:00+00:00,2025-01-14 13:30:00+00:00,3.324551098425546,mid_vol,high_vol,False,log_return_m60
4,60,423964,466954,2025-10-22 10:04:00+00:00,2025-10-22 11:03:00+00:00,2025-11-21 06:34:00+00:00,2025-11-21 07:33:00+00:00,3.3738264700868186,mid_vol,high_vol,False,log_return_m60
5,60,430384,274818,2025-10-26 21:04:00+00:00,2025-10-26 22:03:00+00:00,2025-07-10 20:18:00+00:00,2025-07-10 21:17:00+00:00,3.3785798585292848,low_vol,mid_vol,False,log_return_m60
6,60,11591,399394,2025-01-09 01:11:00+00:00,2025-01-09 02:10:00+00:00,2025-10-05 08:34:00+00:00,2025-10-05 09:33:00+00:00,3.6808025136370803,mid_vol,mid_vol,True,log_return_m60
7,60,423271,356956,2025-10-21 22:31:00+00:00,2025-10-21 23:30:00+00:00,2025-09-05 21:16:00+00:00,2025-09-05 22:15:00+00:00,3.8576825466841638,high_vol,high_vol,True,log_return_m60
8,60,247465,343882,2025-06-21 20:25:00+00:00,2025-06-21 21:24:00+00:00,2025-08-27 19:22:00+00:00,2025-08-27 20:21:00+00:00,3.9305831835886305,mid_vol,high_vol,False,log_return_m60
9,60,269072,258185,2025-07-06 20:32:00+00:00,2025-07-06 21:31:00+00:00,2025-06-29 07:05:00+00:00,2025-06-29 08:04:00+00:00,3.954404320498078,low_vol,low_vol,True,log_return_m60
10,60,228648,178389,2025-06-08 18:48:00+00:00,2025-06-08 19:47:00+00:00,2025-05-04 21:09:00+00:00,2025-05-04 22:08:00+00:00,3.9970425544413617,low_vol,low_vol,True,log_return_m60
