representation,rank,profile_value,motif_start,neighbor_start
raw_close,1,1.5760775674355556,2025-01-07 10:52:00+00:00,2025-01-05 07:15:00+00:00
raw_close,2,1.8179042099326423,2025-01-03 08:55:00+00:00,2025-01-06 14:27:00+00:00
raw_close,3,1.8275650723588053,2025-01-02 04:01:00+00:00,2025-01-01 13:23:00+00:00
raw_close,4,1.9468440929842412,2025-01-03 15:35:00+00:00,2025-01-05 19:30:00+00:00
raw_close,5,1.9484524834170813,2025-01-05 14:16:00+00:00,2025-01-04 04:52:00+00:00
raw_close,6,1.972553979831373,2025-01-06 20:56:00+00:00,2025-01-06 08:00:00+00:00
raw_close,7,2.0153368281751938,2025-01-02 15:51:00+00:00,2025-01-02 08:18:00+00:00
raw_close,8,2.081173264670398,2025-01-01 04:59:00+00:00,2025-01-04 18:47:00+00:00
raw_close,9,2.0920980900318593,2025-01-04 17:20:00+00:00,2025-01-04 20:06:00+00:00
raw_close,10,2.1067481530984526,2025-01-07 14:46:00+00:00,2025-01-07 16:39:00+00:00
raw_close,11,2.1479337068354645,2025-01-06 04:28:00+00:00,2025-01-02 06:44:00+00:00
raw_close,12,2.158758562232097,2025-01-03 01:36:00+00:00,2025-01-05 03:46:00+00:00
raw_close,13,2.173733385634904,2025-01-03 13:33:00+00:00,2025-01-01 02:01:00+00:00
raw_close,14,2.1814419668639835,2025-01-07 08:01:00+00:00,2025-01-06 10:45:00+00:00
raw_close,15,2.271003023891595,2025-01-02 16:59:00+00:00,2025-01-07 09:35:00+00:00
log_return,1,5.700572355482574,2025-01-04 06:21:00+00:00,2025-01-02 13:36:00+00:00
log_return,2,6.305193317215192,2025-01-05 07:04:00+00:00,2025-01-01 07:29:00+00:00
log_return,3,6.4427449619935,2025-01-05 06:04:00+00:00,2025-01-07 02:18:00+00:00
log_return,4,6.48572608848244,2025-01-04 22:07:00+00:00,2025-01-03 13:37:00+00:00
log_return,5,6.514144055291936,2025-01-06 23:36:00+00:00,2025-01-05 19:19:00+00:00
log_return,6,6.644001479161106,2025-01-04 14:30:00+00:00,2025-01-07 13:39:00+00:00
log_return,7,6.775512619705365,2025-01-05 10:40:00+00:00,2025-01-05 08:36:00+00:00
log_return,8,6.813526417736352,2025-01-02 04:17:00+00:00,2025-01-05 00:48:00+00:00
log_return,9,6.9870252801051365,2025-01-01 14:02:00+00:00,2025-01-05 16:04:00+00:00
log_return,10,6.994068671974927,2025-01-06 19:00:00+00:00,2025-01-01 18:04:00+00:00
log_return,11,7.071023537691895,2025-01-03 06:46:00+00:00,2025-01-06 00:33:00+00:00
log_return,12,7.079922623078937,2025-01-04 01:23:00+00:00,2025-01-01 22:20:00+00:00
log_return,13,7.08239626525998,2025-01-05 22:40:00+00:00,2025-01-01 12:06:00+00:00
log_return,14,7.084721985169258,2025-01-05 13:20:00+00:00,2025-01-06 13:19:00+00:00
log_return,15,7.104559175922502,2025-01-03 17:02:00+00:00,2025-01-06 07:06:00+00:00
multivariate,1,4.28215833311586,2025-01-05 07:49:00+00:00,2025-01-04 15:14:00+00:00
multivariate,2,4.315556128932856,2025-01-02 14:22:00+00:00,2025-01-04 07:07:00+00:00
multivariate,3,4.4761812783166945,2025-01-07 09:49:00+00:00,2025-01-05 13:54:00+00:00
multivariate,4,4.649037995008018,2025-01-07 13:48:00+00:00,2025-01-03 12:27:00+00:00
multivariate,5,4.676791275074889,2025-01-05 19:35:00+00:00,2025-01-04 19:17:00+00:00
multivariate,6,4.77555815463368,2025-01-07 10:50:00+00:00,2025-01-06 13:28:00+00:00
multivariate,7,4.778973003682282,2025-01-05 04:45:00+00:00,2025-01-04 16:51:00+00:00
multivariate,8,4.796014984054693,2025-01-02 04:11:00+00:00,2025-01-01 19:16:00+00:00
multivariate,9,4.843356950765622,2025-01-07 01:06:00+00:00,2025-01-02 21:01:00+00:00
multivariate,10,4.904696079961312,2025-01-03 15:24:00+00:00,2025-01-02 05:25:00+00:00
multivariate,11,4.9069801576616445,2025-01-06 08:05:00+00:00,2025-01-04 05:16:00+00:00
multivariate,12,4.9139010389124635,2025-01-05 22:37:00+00:00,2025-01-06 05:28:00+00:00
multivariate,13,4.927971402324872,2025-01-01 13:34:00+00:00,2025-01-05 23:56:00+00:00
multivariate,14,4.939138389414293,2025-01-06 07:04:00+00:00,2025-01-06 02:41:00+00:00
multivariate,15,5.026505927989749,2025-01-07 15:41:00+00:00,2025-01-07 20:43:00+00:00
